ID,Título,Precio,Habitaciones,Metros cuadrados,Planta,Comercializado por,Link,Garaje
1,"Piso en calle del Poeta Querol, 7, Sant Francesc, València",1.350.000€,3 hab.,236 m²,planta 6ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107552311/,Garaje incluido
2,"Piso en calle de Navellos, La Seu, València",1.050.000€,3 hab.,188 m²,planta 2ª exterior con ascensor,Engel & Völkers València,https://www.idealista.com/inmueble/107048311/,No incluye garaje
3,"Piso en calle del Poeta Querol, Sant Francesc, València",1.350.000€,3 hab.,236 m²,planta 6ª exterior con ascensor,Engel & Völkers València,https://www.idealista.com/inmueble/106614759/,Garaje incluido
4,"Piso en calle de Navellos, La Seu, València",1.050.000€,3 hab.,188 m²,planta 2ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107311950/,No incluye garaje
5,"Ático en calle Guillem de Castro, La Roqueta, València",890.000€,4 hab.,320 m²,planta 5ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/104109291/,No incluye garaje
6,"Piso en avenida de María Cristina, El Mercat, València",430.000€,2 hab.,100 m²,planta 2ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107124247/,No incluye garaje
7,"Piso en calle de Guillem de Castro, La Roqueta, València",864.000€,3 hab.,149 m²,planta 5ª exterior con ascensor,Engel & Völkers València,https://www.idealista.com/inmueble/106620603/,No incluye garaje
8,"Piso en calle de Vicent Sancho Tello, Mestalla, València",730.000€,5 hab.,212 m²,planta 1ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107635362/,No incluye garaje
9,"Piso en calle de Marvà, Arrancapins, València",530.000€,5 hab.,143 m²,planta 2ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107768677/,No incluye garaje
10,"Piso en calle de Jesús, Arrancapins, València",695.000€,4 hab.,150 m²,planta 5ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107724842/,Garaje incluido
11,"Piso en plaza de Sant Agustí, Sant Francesc, València",1.600.000€,4 hab.,201 m²,planta 7ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/107114324/,No incluye garaje
12,"Piso en calle de Colón, Sant Francesc, València",1.150.000€,4 hab.,228 m²,planta 3ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/106205310/,Garaje incluido
13,"Piso en calle de Ribera, Sant Francesc, València",650.000€,4 hab.,168 m²,planta 4ª exterior con ascensor,LION CAPITAL GROUP,https://www.idealista.com/inmueble/104971359/,Garaje opc. 42.000 €
14,"Ático en calle de Guillem de Castro, La Roqueta, València",890.000€,4 hab.,320 m²,planta 5ª exterior con ascensor,Engel & Völkers València,https://www.idealista.com/inmueble/101024517/,No incluye garaje
